Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18059483220,"Apr 10, 2026, 9:34:23 AM",Skipping leg day for a month!!!!,Hike,"",51632,38.64,170.0,380,,,Astral Lone Peaks 9,activities/18059483220.gpx,,,51632.0,37336.0,38641.2,3.16,1.035,1351.7,1351.3,380.2,1104.0,49.6,0.0,,,,,170.0,126.0,,,4178.0,,,380.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,29779831.0,,,,,,,,,,,0.748,36098.1,,,,55010.0,0.0,,,,,,55010.0,,,,,,,,,,""
18020697255,"Apr 7, 2026, 10:23:59 PM",Evening Hike,Hike,"",4985,3.36,152.0,18,,,,activities/18020697255.gpx,,,4985.0,3069.0,3364.8,19.42,1.096,191.7,200.4,344.0,507.0,42.3,-0.4,,,,,152.0,109.0,,,364.0,,,18.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,0.0,,,,4396.0,0.0,,,,,,4396.0,,,,,,,,,,""
18019790340,"Apr 7, 2026, 3:57:50 PM",Monday,Weight Training,"Tracked with Bevel

Incline Bench Press · Dumbbell (Double)
• Warm up — 45 lbs × 12
• Set 1 — 75 lbs × 5
• Set 2 — 65 lbs × 10
• Set 3 — 65 lbs × 7
• Set 4 — 60 lbs × 8 (Failure)
• Set 5 — 50 lbs × 10 (Failure)

Overhead Triceps Extension · Cable (Single)
• Set 1 — 50 lbs × 8
• Set 2 — 45 lbs × 10
• Set 3 — 45 lbs × 9
• Set 4 — 40 lbs × 12 (Failure)
• Set 5 — 40 lbs × 12 (Failure)

Lateral Raise · Dumbbell (Double)
• Set 1 — 20 lbs × 10",2160,0,119.0,6,,,,activities/19120703698.fit.gz,,,2160.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,119.0,97.0,,,,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17992267585,"Apr 5, 2026, 8:18:41 PM","Meh, my right thigh hurt.",Ride,"I think I over due it every time. Feels like I strained my right thigh. 

My brain says keep going and my body says nope.",3034,16.30,166.0,108,,,Marin 2021,activities/19092830575.fit.gz,,11.793,3034.0,3034.0,16303.6,12.824,5.374,139.3,139.4,299.6,334.5,4.4,0.0,,,,,166.0,149.0,,186.0,611.0,,,108.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,11537838.0,,,,,,,,,,,,5.374,94.2,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/A3BA3217-21B6-4C03-9E58-464B8288C815.jpg
17981894241,"Apr 5, 2026, 1:21:23 AM",Night Walk,Walk,,1674,2.16,107.0,4,,,Nike AIR JORDAN XXXIX Nike Air Jordan,activities/19082320472.fit.gz,,,1674.0,1653.0,2165.2,2.475,1.31,12.2,13.8,303.5,309.9,21.0,0.0,,,56.0,52.0,107.0,92.0,,,142.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,21336526.0,,,,,,,,,,,1.293,0.0,,,,2860.0,0.0,,,,,,,,,,,,,,,,""
17977786504,"Apr 4, 2026, 3:01:58 PM",Friday,Weight Training,"Tracked with Bevel

Face Pull · Cable (Single)
• Set 1 — 30 lbs × 20
• Set 2 — 30 lbs × 20
• Set 3 — 35 lbs × 20

Shoulder Shrug · Dumbbell (Double)
• Set 1 — 40 lbs × 20
• Set 2 — 50 lbs × 20
• Set 3 — 50 lbs × 20

Preacher Curl · Dumbbell (Double)
• Set 1 — 25 lbs × 12
• Set 2 — 20 lbs × 12
• Set 3 — 20 lbs × 15

Pull Up · Bodyweight
• Warm up — 5 reps
• Set 1 — 20 lbs × 5
• Set 2 — 25 lbs × 5
• Set 3 — 9 reps

Seated Cable Row · Cable (Single)
• Set 1 — 85 lbs × 12
• Set 2 — 85 lbs × 12
• Set 3 — 85 lbs × 12

Pull Up · Bodyweight
• Set 1 — 9 reps",2820,0,123.0,7,,,,activities/19078172386.fit.gz,,,2820.0,2820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,123.0,96.0,,,,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17965920216,"Apr 3, 2026, 6:13:32 PM",Afternoon Skateboard,Skateboard,"",743,0.83,137.0,2,,,,activities/17965920216.gpx,,,743.0,464.0,836.5,6.12,1.803,0.0,0.0,244.6,246.0,8.0,0.0,,,,,137.0,111.0,,,,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.126,0.0,,,,,0.0,,,,,,372.0,,,,,,,,,,""
17957275783,"Apr 2, 2026, 10:47:53 PM",Thursday,Weight Training,"Tracked with Bevel

Cable Crossover · Cable (Double)
• Set 1 — 120 lbs × 14
• Set 2 — 140 lbs × 12
• Set 3 — 140 lbs × 12

Tricep Dip · Bodyweight
• Warm up — 10 reps
• Set 1 — 35 lbs × 10
• Set 2 — 40 lbs × 10
• Set 3 — 45 lbs × 9

Incline Bench Press · Barbell
• Warm up — 90 lbs × 12
• Set 1 — 110 lbs × 8",1500,0,129.0,5,,,,activities/19057462329.fit.gz,,,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,129.0,110.0,,,,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
17954686244,"Apr 2, 2026, 8:18:20 PM",Afternoon Skateboard,Skateboard,"",2801,2.61,168.0,37,,,,activities/17954686244.gpx,,,2801.0,1239.0,2609.5,6.36,2.106,0.0,2.5,242.9,246.7,17.1,0.0,,,,,168.0,143.0,,,,,,37.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932,0.0,,,,,0.0,,,,,,918.0,,,,,,,,,,""
17944729360,"Apr 2, 2026, 12:44:12 AM",Evening Run,Run,,1334,3.22,164.0,45,,,Saucony Triumph 20,activities/19044832961.fit.gz,,,1334.0,1324.0,3222.7,3.658,2.434,16.5,12.4,303.7,310.1,18.9,0.0,,,79.0,75.0,164.0,149.0,,,267.0,,,45.0,,,,,,,,,,,,,0.0,,1.0,3260.9,,,,,,,,,,,,,,,,24315239.0,,,,,,,,,,,2.416,0.0,,,,3336.0,0.0,,,,2.463,,,,,,,,,,,,""
